EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
0.051458485,-0.0104917735,0.023261642,-0.011490553,0.0010904539,-0.037134565,-0.011249467,0.0021395003,0.016429221,-0.0358941,0.009648267,0.022618711,-0.0067090504,0.023112817,-0.019318199
0.054897204,0.027622003,0.014169442,-0.009380626,-0.00093918294,0.03317882,-1.579756e-05,0.013059229,0.052556902,0.018706648,0.06186268,0.061450303,0.04135426,0.0762368,0.02201211
0.008032049,-0.03350748,-0.0006330274,-0.001230756,-0.040172637,0.044308584,-0.003263332,0.0028389404,0.018744543,0.046734393,0.022878218,0.032142743,-0.016944127,0.048716437,-0.027019123
-0.03456215,0.0061574574,0.0039296304,0.00061825966,0.05127476,-0.035630614,-0.009611583,0.027182776,0.014631592,0.004310482,-0.0363141,-0.00074662454,0.012407631,0.029868927,-0.0033013695
0.02751562,-0.029874943,-0.015307605,0.0023395128,0.017454628,-0.020379392,0.0032124743,-0.022885792,0.03064749,-0.013069411,-0.012329942,0.02094337,-0.06660724,0.014313331,-0.025415994
0.052293666,0.019408148,0.012992339,0.0037595648,0.02090887,0.0010805968,0.0061881514,0.037495285,0.0792949,0.053445052,0.05179736,0.07420333,0.06138,0.06758235,0.018263953
0.0314137,0.0019681202,0.026273705,0.026681555,0.05279535,0.018085366,0.011798831,0.01785016,0.040523697,0.032060247,0.04419039,0.025847457,0.029553492,0.056240655,0.016362472
0.06726305,-0.026417408,0.0024177374,0.016365096,0.07840997,0.006199777,-0.01379381,0.013963049,0.015268203,-0.019550983,0.014598183,-0.006365644,0.0335283,-0.023733728,-0.0142196305
0.035366528,0.010116469,0.009692578,0.010750979,-0.04101898,0.028263621,-0.0032041855,0.00017733686,0.05832145,-0.004726884,0.035690628,0.051530853,0.010878151,0.07415348,-0.0032403772
-0.023926007,-0.015853956,-0.0053417934,-0.007534557,0.013191273,-0.05961386,0.0041299877,-0.008270271,0.03717507,-0.013070763,0.02559822,0.011520886,0.004543375,0.020957526,-0.009916376
0.013088378,-0.012792219,-0.009029581,-0.030734548,-0.03660383,-0.0046914984,-0.020327494,-0.040396392,0.007964982,-0.03998709,-0.030038238,0.025386726,-0.044848032,0.049561437,-0.034034368
0.067844935,0.015516477,-0.0052315174,-0.015610764,-0.022662926,0.023219362,0.010036396,0.035254873,0.03185753,-0.018590096,0.0354106,0.04853838,0.0051555885,0.04667241,0.007340904
-0.018484557,0.010722044,0.00036657974,-0.011286088,-0.0018374659,0.030679017,0.021632753,0.046366118,0.037889034,-0.009538707,0.0032947669,0.004363658,-0.004096072,0.0168965,0.009996258
-0.049565047,-0.008887289,-0.013329783,-0.0024021685,-0.0035143849,-0.046472974,0.012186253,-0.020554226,-0.016375493,0.0033657057,-0.056513038,-0.012059713,-0.009094859,-0.008923868,0.0017947746
