horizon,feature_a,feature_b,corr,abs_corr
3W-FRI,vol_1m,ill_log,0.30196213622710777,0.30196213622710777
3W-FRI,vix_ts_z_12p,hy_spread_z_12p,-0.30152395792250647,0.30152395792250647
3W-FRI,hy_spread,cpi_chg_1p,-0.30116730094044253,0.30116730094044253
3W-FRI,vol_1w,vol_z,0.3010538758693337,0.3010538758693337
3W-FRI,mom12m_skip1m,vol_1m,-0.3010421490884139,0.3010421490884139
3W-FRI,ma_signal,vol_z,-0.29866906384423936,0.29866906384423936
3W-FRI,short_reversal_1m,vol_1w,0.2970465526227618,0.2970465526227618
3W-FRI,ma_signal,trend_slope,0.29665261879769095,0.29665261879769095
3W-FRI,spy_ret,hy_spread_z_12p,-0.295623299862432,0.295623299862432
3W-FRI,vol_1w,vix_slope,-0.29483061829340873,0.29483061829340873
3W-FRI,max_dd_3m,vix,-0.2941306121064933,0.2941306121064933
3W-FRI,downside_vol_1m,ill_log,0.2933861756311829,0.2933861756311829
3W-FRI,vol_1w,hy_spread_z_12p,0.292100106525008,0.292100106525008
3W-FRI,mom12m_skip1m,cpi_chg_12p,-0.291915637828718,0.291915637828718
3W-FRI,ma_regime,cpi_chg_12p,-0.29120815295674807,0.29120815295674807
3W-FRI,vol_1m,sd_turn,0.29018055949721683,0.29018055949721683
3W-FRI,mom6m,lag2_y_excess_lead,0.2875058893565966,0.2875058893565966
3W-FRI,vol_ratio_1m_3m,pct_above_50dma,-0.2870468457344709,0.2870468457344709
3W-FRI,turnover,lag2_y_excess_lead,-0.28689694187800896,0.28689694187800896
3W-FRI,mom6m,cs_mom_rank,0.28687332510153696,0.28687332510153696
3W-FRI,sd_turn,baspread,0.28580553045067175,0.28580553045067175
3W-FRI,max_dd_3m,ret_skew,-0.28186264212187206,0.28186264212187206
3W-FRI,ma_regime,vol_z,-0.28164548388593524,0.28164548388593524
3W-FRI,trend_slope,hy_spread_chg_1p,-0.2787429011074365,0.2787429011074365
3W-FRI,mom12m_skip1m,baspread,-0.2768264596949593,0.2768264596949593
3W-FRI,mom12m_skip1m,cpi_chg_1p,0.27652248860892,0.27652248860892
3W-FRI,mom12m,short_reversal_1m,-0.27640853918240227,0.27640853918240227
3W-FRI,trend_slope,vol_1w,-0.27295859042990817,0.27295859042990817
3W-FRI,chmom,cs_mom_rank,0.27052273398503524,0.27052273398503524
3W-FRI,vix,pct_above_50dma,-0.26916475882362706,0.26916475882362706
3W-FRI,turnover,vix_slope,-0.26912005353039287,0.26912005353039287
3W-FRI,hy_spread_z_12p,lag2_y_excess_lead,-0.2688933106160644,0.2688933106160644
3W-FRI,max_dd_6m,ret_skew,-0.2670698940243404,0.2670698940243404
3W-FRI,ma_regime,trend_slope,0.26694264913018706,0.26694264913018706
3W-FRI,vol_ratio_1m_3m,hy_spread_z_12p,0.26678048470397087,0.26678048470397087
3W-FRI,mom12m,term_spread,0.2663908320098371,0.2663908320098371
3W-FRI,trend_slope,hy_spread_z_12p,-0.2662632335830374,0.2662632335830374
3W-FRI,vix,cpi_chg_1p,0.26602516882232596,0.26602516882232596
3W-FRI,max_dd_3m,ill_log,-0.2657369159462728,0.2657369159462728
3W-FRI,vol_1m,hy_spread_z_12p,0.2650611497916329,0.2650611497916329
3W-FRI,vol_3m,vix,0.26437183236592926,0.26437183236592926
3W-FRI,trend_slope,downside_vol_1m,-0.26312523858006015,0.26312523858006015
